5,7,5,5,5,5,5,5,5,7,2,2,2,2,2,2,2,2,2,2
5,7,5,7,5,7,7,5,5,7,2,7,7,7,7,7,7,7,7,2
5,7,0,5,5,5,5,5,5,7,2,2,2,2,2,2,2,2,7,2
5,7,5,7,7,7,7,5,7,7,7,7,7,7,7,7,7,2,2,2
5,7,5,7,5,5,5,5,5,5,2,2,7,2,2,0,7,2,7,7
5,7,5,5,5,7,7,5,7,7,7,2,7,2,7,2,7,2,2,2
5,7,7,7,7,7,5,5,5,5,2,2,2,2,7,2,7,2,7,2
5,5,5,5,5,7,5,7,7,5,7,7,7,2,7,2,7,2,7,2
5,5,5,5,5,7,5,7,5,5,5,5,7,2,7,2,7,2,7,2
7,7,7,7,5,7,5,7,5,0,1,5,5,2,7,2,7,2,7,2
4,4,4,7,4,7,4,5,5,1,0,5,7,5,5,5,7,5,5,5
4,7,4,7,4,4,4,7,5,5,5,5,7,5,7,5,7,5,7,5
4,7,4,7,4,7,7,7,7,7,5,7,7,5,7,5,7,5,7,5
4,4,4,7,4,7,4,4,4,4,5,5,5,0,7,5,7,5,7,5
4,7,4,7,4,7,4,7,7,4,7,7,7,7,7,5,7,5,7,5
4,4,4,7,4,7,4,4,4,4,5,5,5,5,5,5,7,5,7,5
4,7,4,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,7,5
4,7,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,7,5
4,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,5
0,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
