-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,14,-1,-1,-1,-1,14,-1,14,-1,15,-1,15,-1,15,17,15,-1,17,-1,17,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,17,-1,-1,-1,-1,-1
-1,-1,14,5,-1,14,-1,-1,15,-1,6,-1,15,17,16,-1,16,-1,16,-1,17,-1
-1,-1,-1,-1,-1,-1,15,-1,-1,-1,16,-1,16,-1,-1,7,-1,-1,17,-1,17,-1
-1,14,-1,-1,14,-1,14,-1,14,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,16,-1,15,-1,17,-1,17,-1,17,-1
-1,14,-1,-1,14,-1,-1,-1,16,-1,15,-1,15,-1,-1,-1,16,-1,-1,-1,17,-1
-1,-1,-1,-1,-1,-1,15,-1,15,-1,16,-1,-1,-1,15,17,15,-1,15,-1,-1,-1
-1,14,-1,-1,14,-1,14,-1,-1,-1,15,-1,12,-1,16,-1,8,16,17,-1,16,-1
-1,-1,-1,-1,-1,-1,-1,15,14,-1,11,-1,15,-1,13,17,-1,-1,-1,-1,-1,-1
-1,10,-1,-1,10,-1,-1,-1,-1,-1,16,-1,12,-1,-1,-1,13,-1,17,-1,17,-1
-1,-1,-1,-1,-1,-1,10,-1,11,10,-1,-1,-1,11,12,-1,16,-1,-1,-1,-1,-1
-1,-1,10,-1,11,-1,-1,-1,-1,-1,12,-1,12,-1,12,-1,13,-1,17,-1,17,-1
-1,-1,-1,-1,1,-1,11,-1,2,-1,11,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,13,-1,4,-1,-1
-1,10,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,13,-1,12,-1,-1,-1,13,-1
-1,-1,-1,-1,10,-1,11,-1,10,12,-1,-1,12,-1,12,-1,13,-1,13,-1,-1,-1
-1,-1,-1,-1,-1,-1,10,-1,-1,-1,11,-1,-1,-1,13,-1,-1,-1,-1,-1,13,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,11,10,-1,11,10,12,10,-1,-1,12,11,-1,13,12,-1,13,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
