-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,11,12,10,11,10,-1,12,-1,-1,12,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1
-1,-1,10,-1,-1,11,10,11,2,12,11,-1,-1,3,-1,12,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1
-1,-1,-1,10,1,-1,-1,12,10,-1,-1,-1,11,-1,15,12,-1
-1,-1,-1,-1,-1,-1,10,11,-1,15,11,-1,-1,12,-1,-1,-1
-1,10,-1,-1,-1,11,-1,-1,-1,12,15,-1,-1,15,-1,12,-1
-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,13,-1,13,11,10,-1,11,12,10,11,14,12,15,15,12,-1
-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,6,-1,-1,-1
-1,13,-1,-1,-1,15,-1,13,14,15,-1,15,14,-1,-1,-1,-1
-1,-1,-1,-1,-1,4,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1
-1,13,-1,13,-1,14,13,-1,14,15,5,-1,14,-1,-1,15,-1
-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1
-1,13,-1,14,-1,-1,13,-1,14,15,14,-1,-1,-1,-1,-1,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
